file,content
bh_1_parsed.json,주택 양도 시 보증금 반환채무 승계.
bh_2_parsed.json,임차인의 동시이행 항변권 인정.
bh_3_parsed.json,임대인은 하자 없는 상태 유지 의무.
bh_4_parsed.json,임차권등기 주택에도 대항력 인정.
bh_5_parsed.json,공인중개사의 신탁관계 설명 의무 강조.
bh_6_parsed.json,사정변경 시 계약 해지 및 보증금 반환 가능.
bh_7_parsed.json,수탁자 동의 임대차는 위탁자가 책임.
bh_8_parsed.json,임대인의 권한 해제에도 임차권 대항 가능.
bh_9_parsed.json,분양대행계약의 채무는 수단채무로 판단.
bh_10_parsed.json,근질권 설정 후 갱신 시 효력 유지.
ih_1_parsed.json,공인중개사의 권리관계 설명 의무 강조.
ih_2_parsed.json,재개발사업 시 임차인의 보증금 반환 청구권 인정.
ih_3_parsed.json,질권의 효력이 저당권에 미치려면 부기등기 필요.
ih_4_parsed.json,임대주택 양도 시 양수인의 임대차계약 승계 인정.
ih_5_parsed.json,임차인이 원하지 않으면 임대차 승계 구속 면제 가능.
ih_6_parsed.json,"임대인의 보증금 반환 약속, 법적 책임 여부는 상황에 따라 달라짐."
ih_7_parsed.json,외국인도 국내거소신고로 대항력 취득 가능.
ih_8_parsed.json,불가분채권 일부 압류 시 다른 채권자 권리 유지.
ih_9_parsed.json,상가 임차인의 갱신거절 통지 시 묵시적 갱신 불인정.
ih_10_parsed.json,목적물 미인도 시 차임 지급 거절 가능.
